,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000
1900Afghanistan,Afghanistan,Rest,1900,13.74933333,,,14.0881,109.6323,890.8942,0,12.4979,20.6247,662.737,1.0003,0,0,0,0
1900Albania,Albania,Rest,1900,13.06858333,,534.2881,419.7405,0,59.3769,2.3303,683.3617,2.2094,0,10.1676,0,0,0,0
1900Algeria,Algeria,Rest,1900,22.86416667,0,,952.9917,1.0369,0,61.7072,683.3617,1.0003,1.2091,0,10.1676,0,0,0
1900Andorra,Andorra,Rest,1900,11.34833333,,889.6851,64.3435,0,0,742.7386,3.3306,0,1.2091,0,10.1676,0,0,0
1900Angola,Angola,Rest,1900,21.78991667,,,2.3303,0,14.9454,952.1344,0,47.5348,672.9046,21.625,0,0,0,0
1900Argentina,Argentina,Rest,1900,14.80725,2.0702,2.0702,0,0,0,3.3306,662.737,20.6247,963.1593,1.0369,14.2603,46.3257,0,0
1900Armenia,Armenia,Rest,1900,8.24375,0.282,1.3189,403.9743,608.3943,0,0,24.1641,662.737,11.1679,0,0,0,0,0
1900Australia,Australia,Top20,1900,21.76658333,10.1676,10.1676,0,1.2091,0,13.0512,0,48.656,1.0369,425.5993,1211.7544,0,0,0
1900Austria,Austria,Rest,1900,6.67025,27.6742,980.6659,1.0369,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Azerbaijan,Azerbaijan,Rest,1900,10.5825,1.0487,2.0856,403.9743,608.3943,0,0,24.1641,662.737,11.1679,0,0,0,0,0
1900Bahamas,Bahamas,Rest,1900,25.05741667,,,663.7373,20.6247,0,875.7766,77.2151,47.3626,2.3303,13.0512,0,11.3767,0,0
1900Bahrain,Bahrain,Rest,1900,25.89925,,,14.0881,533.2512,466.0662,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Bangladesh,Bangladesh,Rest,1900,25.21908333,,13.0512,0,47.5348,1.0369,543.4188,422.0708,20.6247,0,662.737,1.0003,0,0,0
1900Barbados,Barbados,Rest,1900,26.27916667,,,0,663.7373,20.6247,889.6851,64.3435,2.3303,46.3257,13.0512,0,0,11.3767,0
1900Belarus,Belarus,Rest,1900,5.82,2.026,392.0918,563.9628,46.3257,13.0512,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Belgium,Belgium,Rest,1900,9.787333333,49.6655,1002.6572,1.0369,0,46.3257,696.4129,3.3306,0,1.2091,0,10.1676,0,0,0
1900Belize,Belize,Rest,1900,24.54841667,,,663.7373,20.6247,0,0,889.6851,109.6323,1.0369,2.3303,23.2188,1.2091,0,0
1900Benin,Benin,Rest,1900,27.02975,,,0,470.9815,485.3774,0,13.0512,730.6877,1.2091,0,10.1676,0,0,0
1900Bhutan,Bhutan,Rest,1900,12.0165,,13.0512,0,47.5348,64.3435,899.8527,2.3303,20.6247,662.737,1.0003,0,0,0,0
1900Bolivia,Bolivia,Rest,1900,21.11325,,,0,0,1.0003,662.737,152.2319,823.7148,1.0369,0,69.5445,0,1.2091,0
1900Botswana,Botswana,Rest,1900,22.02141667,,2.3303,0,0,0,157.2735,809.8063,11.3767,46.3257,662.737,21.625,0,0,0
1900Brazil,Brazil,Top20,1900,24.90483333,,0,0,0,0,666.0676,910.3098,64.3435,0,46.3257,23.2188,0,1.2091,0
1900Bulgaria,Bulgaria,Rest,1900,10.96283333,0.2162,405.2274,549.0174,0,59.3769,0,685.692,2.2094,0,10.1676,0,0,0,0
1900Burkina Faso,Burkina Faso,Rest,1900,27.98075,,,0,954.0286,2.3303,0,675.7882,67.9507,1.2091,0,10.1676,0,0,0
1900Burundi,Burundi,Rest,1900,20.08075,,,2.3303,1.0369,546.3024,419.7405,47.5348,10.1676,0,684.362,0,0,0,0
1900Cambodia,Cambodia,Rest,1900,26.63125,,,14.2603,0,56.4933,1.0369,403.9743,551.3477,20.6247,662.737,1.0003,0,0,0
1900Cameroon,Cameroon,Rest,1900,24.12333333,,,0,146.5526,809.8063,13.0512,46.3257,683.3617,2.2094,10.1676,0,0,0,0
1900Canada,Canada,Top20,1900,-5.01875,20.6247,20.6247,662.737,1.0003,419.7405,579.5769,1.0369,0,13.0512,11.3767,2.3303,0,0,0
1900Cape Verde,Cape Verde,Rest,1900,24.05108333,,,0,562.9259,391.1027,665.0673,21.625,59.3769,0,0,1.2091,10.1676,0,0
1900Central African Republic,Central African Republic,Rest,1900,25.05383333,,,0,146.5526,822.8575,0,46.3257,1.2091,693.5293,1.0003,0,0,0,0
1900Chad,Chad,Rest,1900,26.84783333,,,14.9454,939.0832,15.3815,0,46.3257,684.5708,1.0003,10.1676,0,0,0,0
1900Chile,Chile,Rest,1900,9.305,0.85,0.85,0,0,0,1.0003,665.0673,20.6247,899.8527,64.3435,1.2091,59.3769,0,0
1900China,China,Top20,1900,6.444166667,,0,59.3769,1.2091,1.0369,963.1593,20.6247,2.3303,663.7373,0,0,0,0,0
1900Colombia,Colombia,Rest,1900,24.873,,,0,663.7373,20.6247,0,889.6851,65.6369,47.3626,0,13.0512,10.1676,1.2091,0
1900Comoros,Comoros,Rest,1900,25.85208333,,,2.3303,0,14.0881,534.4603,429.9081,46.3257,0,20.6247,662.737,1.0003,0,0
1900Congo Dem Republic,Congo Dem Republic,Rest,1900,23.69616667,,,2.3303,0,534.2881,432.7917,0,47.5348,693.5293,1.0003,0,0,0,0
1900Costa Rica,Costa Rica,Rest,1900,25.41625,,,1.0003,662.737,20.6247,0,875.7766,77.2151,49.6929,0,10.1676,13.0512,1.2091,0
1900Croatia,Croatia,Rest,1900,11.82691667,0.1226,533.3738,420.7774,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Cuba,Cuba,Rest,1900,25.344,,,663.7373,20.6247,0,875.7766,77.2151,47.3626,2.3303,0,13.0512,11.3767,0,0
1900Cyprus,Cyprus,Rest,1900,19.02058333,,1.0369,533.2512,432.7917,46.3257,2.3303,21.8338,662.737,11.1679,0,0,0,0,0
1900Czech Republic,Czech Republic,Rest,1900,7.9735,35.1203,988.112,1.0369,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Denmark,Denmark,Rest,1900,-17.76741667,5.1479,944.2311,14.9454,0,66.9504,675.7882,1.0003,3.5394,0,10.1676,0,0,0,0
1900Djibouti,Djibouti,Rest,1900,28.54383333,,,1.0369,26.9597,941.4135,47.5348,0,10.1676,20.6247,662.737,1.0003,0,0,0
1900Dominica,Dominica,Rest,1900,25.90483333,,,0,663.7373,20.6247,952.9917,1.0369,2.3303,46.3257,13.0512,0,0,11.3767,0
1900Dominican Republic,Dominican Republic,Rest,1900,25.76008333,,,662.737,1.0003,20.6247,889.6851,63.3066,47.3626,2.3303,0,13.0512,10.1676,1.2091,0
1900Ecuador,Ecuador,Rest,1900,21.90658333,,,0,663.7373,0,20.6247,549.0174,406.3046,1.0369,46.3257,10.1676,13.0512,1.2091,0
1900Egypt,Egypt,Rest,1900,22.79775,,1.0369,403.9743,549.0174,15.3815,46.3257,1.2091,683.3617,11.1679,0,0,0,0,0
1900El Salvador,El Salvador,Rest,1900,24.65533333,,,663.7373,0,20.6247,0,875.7766,77.2151,49.6929,0,23.2188,1.2091,0,0
1900Equatorial Guinea,Equatorial Guinea,Rest,1900,24.711,,,0,16.2388,940.1201,13.0512,0,46.3257,685.5711,10.1676,0,0,0,0
1900Eritrea,Eritrea,Rest,1900,26.43108333,,,1.0369,417.0255,551.3477,46.3257,1.2091,10.1676,683.3617,1.0003,0,0,0,0
1900Estonia,Estonia,Rest,1900,4.23525,0.6133,390.6791,563.9628,46.3257,13.0512,20.6247,662.737,4.5397,0,10.1676,0,0,0,0
1900Ethiopia,Ethiopia,Rest,1900,22.79366667,,,0,30.3269,939.0832,46.3257,1.2091,10.1676,20.6247,662.737,1.0003,0,0,0
1900Fiji,Fiji,Rest,1900,24.41958333,,,0,10.1676,0,1.2091,0,730.6877,13.0512,2.3303,484.084,469.9446,0,0
1900Finland,Finland,Rest,1900,0.0005,0.6009,390.6667,563.9628,46.3257,33.6759,662.737,1.0003,3.5394,0,10.1676,0,0,0,0
1900France,France,Top20,1900,12.98733333,129.2769,952.9917,1.0369,0,46.3257,696.4129,3.3306,0,1.2091,0,10.1676,0,0,0
1900Gabon,Gabon,Rest,1900,24.06233333,,,0,16.2388,940.1201,13.0512,0,46.3257,685.5711,10.1676,0,0,0,0
1900Gambia,Gambia,Rest,1900,27.46266667,,,0,889.6851,66.6738,0,684.362,59.3769,0,1.2091,0,10.1676,0,0
1900Georgia,Georgia,Rest,1900,7.865166667,0.5048,1.5417,403.9743,608.3943,0,0,24.1641,662.737,11.1679,0,0,0,0,0
1900Germany,Germany,Top20,1900,8.452083333,326.7592,952.9917,1.0369,0,46.3257,696.4129,3.3306,1.2091,0,10.1676,0,0,0,0
1900Ghana,Ghana,Rest,1900,26.63333333,,,0,143.1854,813.1735,0,13.0512,730.6877,1.2091,0,10.1676,0,0,0
1900Greece,Greece,Rest,1900,15.10758333,0.4177,78.6697,875.7766,0,59.3769,2.3303,683.3617,2.2094,0,10.1676,0,0,0,0
1900Grenada,Grenada,Rest,1900,26.61625,,,0,663.7373,20.6247,889.6851,63.3066,3.3672,46.3257,13.0512,0,0,11.3767,0
1900Guatemala,Guatemala,Rest,1900,22.86133333,,1.0003,662.737,20.6247,0,0,875.7766,77.2151,47.3626,2.3303,23.2188,1.2091,0,0
1900Guinea,Guinea,Rest,1900,25.38025,,,0,143.1854,813.1735,0,696.4129,47.326,0,1.2091,10.1676,0,0,0
1900Guyana,Guyana,Rest,1900,25.92666667,,,0,0,663.7373,569.6421,406.3046,1.0369,46.3257,0,13.0512,10.1676,1.2091,0
1900Haiti,Haiti,Rest,1900,26.52116667,,,663.7373,0,20.6247,875.7766,77.2151,47.3626,2.3303,0,13.0512,10.1676,1.2091,0
1900Honduras,Honduras,Rest,1900,24.38358333,,,663.7373,0,20.6247,0,889.6851,63.3066,49.6929,0,23.2188,1.2091,0,0
1900Hungary,Hungary,Rest,1900,10.30625,9.585,543.8731,419.7405,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Iceland,Iceland,Rest,1900,1.364083333,,419.7405,519.3427,35.5701,709.0627,1.0003,13.0512,2.3303,1.2091,0,10.1676,0,0,0
1900India,India,Top20,1900,24.36783333,13.0512,13.0512,0,2.246,109.6323,899.8527,2.3303,0,20.6247,662.737,1.0003,0,0,0
1900Indonesia,Indonesia,Top20,1900,25.73458333,1.2091,1.2091,0,23.2188,0,46.3257,1.0369,406.3046,549.0174,20.6247,663.7373,0,0,0
1900Iran,Iran,Top20,1900,17.12166667,,0,14.0881,533.2512,466.0662,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Iraq,Iraq,Rest,1900,21.70516667,,1.0369,77.2151,888.8278,46.3257,2.3303,1.2091,683.3617,11.1679,0,0,0,0,0
1900Ireland,Ireland,Rest,1900,9.327166667,,875.7766,77.2151,1.0369,66.9504,675.7882,1.0003,2.3303,1.2091,0,10.1676,0,0,0
1900Israel,Israel,Rest,1900,19.86033333,,1.0369,403.9743,562.0686,46.3257,2.3303,21.8338,662.737,11.1679,0,0,0,0,0
1900Italy,Italy,Top20,1900,12.998,13.9085,533.2512,420.7774,0,46.3257,33.6759,665.0673,2.2094,0,10.1676,0,0,0,0
1900Ivory Coast,Ivory Coast,Rest,1900,25.90025,,,0,143.1854,813.1735,0,675.7882,67.9507,0,1.2091,10.1676,0,0,0
1900Jamaica,Jamaica,Rest,1900,26.19991667,,,663.7373,0,20.6247,549.0174,403.9743,47.3626,2.3303,0,13.0512,10.1676,1.2091,0
1900Japan,Japan,Top20,1900,11.47366667,,0,0,47.5348,13.0512,10.1676,831.4679,806.9227,0,2.3303,0,0,0,0
1900Jordan,Jordan,Rest,1900,19.5585,,1.0369,403.9743,562.0686,46.3257,2.3303,1.2091,683.3617,11.1679,0,0,0,0,0
1900Kazakhstan,Kazakhstan,Rest,1900,4.4765,5.5022,5.5022,47.3626,966.0429,0,1.2091,20.6247,675.2349,1.0003,0,0,0,0,0
1900Kenya,Kenya,Rest,1900,24.12983333,,,0,3.3672,546.3024,419.7405,47.5348,10.1676,0,683.3617,1.0003,0,0,0
1900Kiribati,Kiribati,Rest,1900,26.55841667,,,0,0,1.0003,693.5293,0,47.5348,0,952.1344,14.9454,2.3303,0,0
1900Kuwait,Kuwait,Rest,1900,25.097,,1.0369,0,546.3024,466.0662,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Kyrgyzstan,Kyrgyzstan,Rest,1900,2.762,0.3487,0.3487,59.3769,64.3435,890.8942,0,33.1226,662.737,1.0003,0,0,0,0,0
1900Laos,Laos,Rest,1900,23.50916667,,,14.2603,46.3257,10.1676,64.3435,889.6851,22.955,0,663.7373,0,0,0,0
1900Latvia,Latvia,Rest,1900,4.9955,0.344,390.4098,563.9628,46.3257,13.0512,20.6247,662.737,4.5397,0,10.1676,0,0,0,0
1900Lebanon,Lebanon,Rest,1900,17.87716667,,1.0369,533.2512,432.7917,46.3257,2.3303,21.8338,662.737,11.1679,0,0,0,0,0
1900Lesotho,Lesotho,Rest,1900,13.84333333,,2.3303,0,0,0,14.0881,534.4603,429.9081,46.3257,0,684.362,0,0,0
1900Liberia,Liberia,Rest,1900,25.33308333,,,0,143.1854,813.1735,0,675.7882,67.9507,0,1.2091,10.1676,0,0,0
1900Libya,Libya,Rest,1900,22.17083333,,,534.2881,419.7405,15.3815,46.3257,20.6247,663.9461,1.0003,10.1676,0,0,0,0
1900Liechtenstein,Liechtenstein,Rest,1900,4.999833333,,952.9917,1.0369,0,46.3257,33.6759,666.0676,1.2091,0,0,10.1676,0,0,0
1900Lithuania,Lithuania,Rest,1900,5.847416667,0.5543,390.6201,563.9628,46.3257,13.0512,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Luxembourg,Luxembourg,Rest,1900,9.486916667,,952.9917,1.0369,0,46.3257,696.4129,3.3306,0,1.2091,0,10.1676,0,0,0
1900Macedonia,Macedonia,Rest,1900,10.87891667,0.0667,405.0779,549.0174,0,59.3769,2.3303,683.3617,2.2094,0,10.1676,0,0,0,0
1900Madagascar,Madagascar,Rest,1900,22.91558333,,,2.3303,0,13.0512,16.1545,949.2508,46.3257,0,0,683.3617,1.0003,0,0
1900Malawi,Malawi,Rest,1900,21.60733333,,,2.3303,0,14.0881,533.2512,420.9496,56.4933,0,683.3617,1.0003,0,0,0
1900Malaysia,Malaysia,Rest,1900,25.785,0.0586,1.2677,13.0512,10.1676,46.3257,1.0369,79.5454,875.7766,20.6247,0,663.7373,0,0,0
1900Mali,Mali,Rest,1900,28.256,,,13.9085,940.1201,2.3303,0,742.7386,1.0003,0,1.2091,10.1676,0,0,0
1900Malta,Malta,Rest,1900,18.48758333,,143.1854,810.8432,0,13.0512,48.656,683.3617,2.2094,0,10.1676,0,0,0,0
1900Mauritania,Mauritania,Rest,1900,27.44291667,,,143.1854,810.8432,0,2.3303,743.7389,0,0,1.2091,0,10.1676,0,0
1900Mauritius,Mauritius,Rest,1900,23.46416667,,,0,2.3303,13.0512,12.4136,533.2512,466.0662,0,0,20.6247,662.737,1.0003,0
1900Mexico,Mexico,Top20,1900,20.52158333,1.0003,1.0003,662.737,20.6247,0,0,875.7766,123.5408,1.0369,10.1676,16.5906,0,0,0
1900Moldova,Moldova,Rest,1900,9.44825,0.5075,405.5187,549.0174,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Mongolia,Mongolia,Rest,1900,-1.169333333,,,46.3257,13.0512,392.3118,562.9259,30.7923,662.737,3.3306,0,0,0,0,0
1900Montenegro,Montenegro,Rest,1900,10.71325,,534.2881,419.7405,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Morocco,Morocco,Rest,1900,17.56741667,,,952.9917,1.0369,0,732.0177,14.0515,0,0,1.2091,0,10.1676,0,0
1900Mozambique,Mozambique,Rest,1900,23.76425,,,2.3303,0,1.0369,219.5432,747.7088,56.4933,0,0,684.362,0,0,0
1900Namibia,Namibia,Rest,1900,20.608,,2.3303,0,0,0,144.2223,822.8575,11.3767,46.3257,684.362,0,0,0,0
1900Nepal,Nepal,Rest,1900,15.02575,,13.0512,0,48.5717,63.3066,899.8527,2.3303,20.6247,662.737,1.0003,0,0,0,0
1900Netherlands,Netherlands,Rest,1900,9.727583333,14.634,967.6257,1.0369,0,46.3257,696.4129,3.3306,0,1.2091,0,10.1676,0,0,0
1900New Zealand,New Zealand,Rest,1900,9.970833333,2.4402,2.4402,0,10.1676,0,1.2091,0,1.0003,678.1185,66.9504,0,1.0369,952.9917,0
1900Nicaragua,Nicaragua,Rest,1900,25.71875,,,663.7373,0,20.6247,0,875.7766,77.2151,49.6929,0,23.2188,1.2091,0,0
1900Niger,Niger,Rest,1900,27.21633333,,,13.9085,940.1201,2.3303,13.0512,46.3257,684.362,1.2091,10.1676,0,0,0,0
1900Nigeria,Nigeria,Rest,1900,26.53541667,,,0,473.3118,483.0471,13.0512,46.3257,683.3617,2.2094,10.1676,0,0,0,0
1900Niue,Niue,Rest,1900,24.77241667,,,0,0,10.1676,0,2.2094,683.3617,59.3769,2.3303,419.7405,534.2881,0,0
1900North Korea,North Korea,Rest,1900,6.73625,,,46.3257,1.2091,13.0512,74.5111,910.3098,663.7373,0,2.3303,0,0,0,0
1900Norway,Norway,Rest,1900,-0.930083333,4.155,813.9613,144.2223,46.3257,20.6247,675.7882,1.0003,3.5394,0,10.1676,0,0,0,0
1900Oman,Oman,Rest,1900,26.74675,,,14.0881,77.2151,922.1023,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Pakistan,Pakistan,Rest,1900,20.75458333,,13.0512,0,110.6692,890.8942,0,12.4979,20.6247,662.737,1.0003,0,0,0,0
1900Palau,Palau,Rest,1900,27.307,,,1.2091,10.1676,13.0512,46.3257,0,84.9682,1554.7524,1.0003,0,0,0,0
1900Panama,Panama,Rest,1900,26.24033333,,,1.0003,662.737,20.6247,0,889.6851,63.3066,49.6929,0,23.2188,0,1.2091,0
1900Papua New Guinea,Papua New Guinea,Rest,1900,24.53666667,,,10.1676,1.2091,0,13.0512,46.3257,0,24.9922,1615.7287,0,0,0,0
1900Paraguay,Paraguay,Rest,1900,23.743,,,0,0,0,666.0676,0,973.6164,1.0369,10.1676,59.3769,1.2091,0,0
1900Peru,Peru,Rest,1900,20.01325,0.2455,0.2455,0,1.0003,662.737,20.6247,0,955.322,1.0369,46.3257,10.1676,13.0512,1.2091,0
1900Philippines,Philippines,Rest,1900,26.25133333,,,1.2091,23.2188,46.3257,0,1.0369,973.6164,2.3303,663.7373,0,0,0,0
1900Poland,Poland,Top20,1900,7.742416667,63.3066,952.9917,1.0369,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Portugal,Portugal,Rest,1900,14.71175,2.4659,131.7428,823.7148,1.0369,0,729.6874,16.3818,0,1.2091,0,0,10.1676,0,0
1900Qatar,Qatar,Rest,1900,26.73683333,,,14.0881,403.9743,595.3431,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Romania,Romania,Rest,1900,9.380666667,1.2384,406.2496,549.0174,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Russia,Russia,Top20,1900,-5.874333333,46.3257,46.3257,0,0,967.0798,21.8338,662.737,11.1679,2.3303,0,0,0,0,0
1900Rwanda,Rwanda,Rest,1900,19.23558333,,,0,3.3672,546.3024,419.7405,47.5348,0,30.7923,663.7373,0,0,0,0
1900Saint Lucia,Saint Lucia,Rest,1900,26.4755,,,0,663.7373,20.6247,889.6851,64.3435,2.3303,46.3257,13.0512,0,0,11.3767,0
1900Samoa,Samoa,Rest,1900,25.97475,,,0,0,10.1676,0,2.2094,729.6874,13.0512,0,812.1366,144.2223,0,0
1900Saudi Arabia,Saudi Arabia,Top20,1900,25.48891667,,0,1.0369,546.3024,466.0662,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900Senegal,Senegal,Rest,1900,27.85583333,,,0,889.6851,66.6738,0,684.362,59.3769,0,1.2091,0,10.1676,0,0
1900Serbia,Serbia,Rest,1900,10.51308333,0.3842,534.6723,419.7405,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Seychelles,Seychelles,Rest,1900,26.60133333,,,0,15.3815,1.0369,534.4603,476.2338,0,0,20.6247,662.737,1.0003,0,0
1900Sierra Leone,Sierra Leone,Rest,1900,25.95916667,,,0,143.1854,813.1735,0,683.3617,60.3772,0,1.2091,10.1676,0,0,0
1900Singapore,Singapore,Rest,1900,26.53158333,,1.2091,0,23.2188,0,46.3257,66.6738,889.6851,0,20.6247,663.7373,0,0,0
1900Slovakia,Slovakia,Rest,1900,8.050416667,9.445,542.6962,420.7774,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Slovenia,Slovenia,Rest,1900,10.14083333,0.1027,533.3539,420.7774,0,59.3769,20.6247,665.0673,2.2094,0,10.1676,0,0,0,0
1900Solomon Islands,Solomon Islands,Rest,1900,26.21058333,,,0,10.1676,1.2091,0,59.3769,21.625,662.737,66.6738,889.6851,0,0,0
1900Somalia,Somalia,Rest,1900,26.7085,,,0,16.4184,533.2512,467.2753,0,10.1676,20.6247,662.737,1.0003,0,0,0
1900South Africa,South Africa,Top20,1900,17.386,2.3303,2.3303,0,0,0,1.0369,546.3024,431.1172,46.3257,662.737,21.625,0,0,0
1900South Korea,South Korea,Top20,1900,11.59266667,,0,0,47.5348,13.0512,11.2045,973.6164,662.737,1.0003,2.3303,0,0,0,0
1900Spain,Spain,Rest,1900,13.62941667,11.2192,154.4046,809.8063,1.0369,0,742.7386,3.3306,0,1.2091,0,10.1676,0,0,0
1900Sri Lanka,Sri Lanka,Rest,1900,27.24225,,13.0512,0,1.2091,47.3626,416.4722,549.0174,0,20.6247,0,662.737,1.0003,0,0
1900Sudan,Sudan,Rest,1900,26.88808333,,,1.0369,533.2512,435.122,46.3257,1.2091,0,693.5293,1.0003,0,0,0,0
1900Suriname,Suriname,Rest,1900,26.13841667,,,0,0,663.7373,583.5506,392.3961,1.0369,46.3257,13.0512,0,10.1676,1.2091,0
1900Swaziland,Swaziland,Rest,1900,18.85533333,,2.3303,0,0,0,27.9966,520.5518,429.9081,46.3257,0,684.362,0,0,0
1900Sweden,Sweden,Rest,1900,1.335416667,9.171,818.9773,144.2223,46.3257,33.6759,662.737,1.0003,3.5394,0,10.1676,0,0,0,0
1900Switzerland,Switzerland,Rest,1900,7.305166667,5.6719,958.6636,1.0369,0,46.3257,696.4129,3.3306,1.2091,0,0,10.1676,0,0,0
1900Syria,Syria,Rest,1900,18.09308333,,1.0369,403.9743,562.0686,46.3257,2.3303,21.8338,662.737,11.1679,0,0,0,0,0
1900Tajikistan,Tajikistan,Rest,1900,3.54675,0.1758,0.1758,14.0881,436.3915,564.135,0,33.1226,0,662.737,1.0003,0,0,0,0
1900Tanzania,Tanzania,Rest,1900,22.39941667,,,2.3303,0,27.9966,939.0832,47.5348,10.1676,0,683.3617,1.0003,0,0,0
1900Thailand,Thailand,Rest,1900,26.10025,,,14.2603,0,56.4933,1.0369,952.9917,2.3303,20.6247,662.737,1.0003,0,0,0
1900Togo,Togo,Rest,1900,26.76433333,,,0,470.9815,485.3774,0,13.0512,730.6877,1.2091,0,10.1676,0,0,0
1900Tonga,Tonga,Rest,1900,22.85875,,,0,0,10.1676,1.2091,1.0003,683.3617,59.3769,2.3303,0,954.0286,0,0
1900Trinidad and Tobago,Trinidad and Tobago,Rest,1900,26.0475,,,0,663.7373,20.6247,889.6851,63.3066,3.3672,46.3257,13.0512,0,0,11.3767,0
1900Tunisia,Tunisia,Rest,1900,19.84066667,,143.1854,810.8432,0,0,61.7072,683.3617,1.0003,1.2091,0,10.1676,0,0,0
1900Turkey,Turkey,Top20,1900,11.91375,1.0369,1.0369,533.2512,432.7917,46.3257,2.3303,21.8338,662.737,11.1679,0,0,0,0,0
1900Turkmenistan,Turkmenistan,Rest,1900,13.92483333,0.81,0.81,14.0881,579.5769,419.7405,1.2091,22.955,672.9046,1.0003,0,0,0,0,0
1900Uganda,Uganda,Rest,1900,22.97391667,,,0,3.3672,546.3024,419.7405,47.5348,10.1676,20.6247,663.7373,0,0,0,0
1900Ukraine,Ukraine,Rest,1900,7.819333333,13.4795,404.5822,562.9259,46.3257,13.0512,20.6247,666.2764,1.0003,0,10.1676,0,0,0,0
1900United Arab Emirates,United Arab Emirates,Rest,1900,27.58791667,,,14.0881,403.9743,595.3431,3.5394,0,30.7923,662.737,1.0003,0,0,0,0
1900United Kingdom,United Kingdom,Top20,1900,8.550416667,419.7405,939.0832,13.9085,1.0369,66.9504,675.7882,1.0003,2.3303,1.2091,0,10.1676,0,0,0
1900United States of America,United States of America,Top20,1900,9.021583333,662.737,662.737,21.625,0,0,875.7766,123.5408,1.0369,0,15.3815,11.3767,0,0,0
1900Uruguay,Uruguay,Rest,1900,17.7805,,,0,0,0,3.3306,662.737,583.5506,391.1027,10.1676,13.0512,47.5348,0,0
1900Uzbekistan,Uzbekistan,Rest,1900,11.415,2.7031,2.7031,14.0881,450.3,549.0174,1.2091,22.955,672.9046,1.0003,0,0,0,0,0
1900Venezuela,Venezuela,Rest,1900,25.12325,,,0,663.7373,0,569.6421,403.9743,3.3672,46.3257,0,13.0512,10.1676,0,1.2091
1900Vietnam,Vietnam,Rest,1900,23.51766667,0.513,0.513,14.2603,0,56.4933,1.0369,403.9743,551.3477,20.6247,662.737,1.0003,0,0,0
1900Yemen,Yemen,Rest,1900,25.99058333,,,1.0369,90.2663,878.1069,47.5348,0,10.1676,20.6247,662.737,1.0003,0,0,0
1900Zambia,Zambia,Rest,1900,21.37408333,,,2.3303,0,14.9454,532.3939,420.9496,56.4933,0,683.3617,1.0003,0,0,0
1900Zimbabwe,Zimbabwe,Rest,1900,21.27583333,,2.3303,0,0,0,547.3393,420.9496,56.4933,0,662.737,21.625,0,0,0
1901Afghanistan,Afghanistan,Rest,1901,13.894,,,15.3449,114.4573,877.0224,0,15.3485,23.8453,721.5259,3.4148,0,0,0,0
1901Albania,Albania,Rest,1901,12.44958333,,531.9249,410.7014,0,61.9559,3.9095,747.4743,3.5541,0,11.439,0,0,0,0
1901Algeria,Algeria,Rest,1901,22.72641667,0,,941.6773,0.949,0,67.9685,745.3712,1.3117,2.2424,0,11.439,0,0,0
1901Andorra,Andorra,Rest,1901,10.51633333,,874.78,67.8463,0,0,807.3271,7.3243,0,2.2424,0,11.439,0,0,0
1901Angola,Angola,Rest,1901,21.75141667,,,3.9095,0,14.4655,944.6598,0,49.8024,732.9649,25.157,0,0,0,0
