,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1960Bahamas,Bahamas,Rest,1960,25.16725,0.4104,0.4104,2912.3927,189.5314,46.324,1668.8861,308.8715,908.3798,370.3461,900.5709,0,109.5206,0,0,109528,,,4.495,,,,,
1960Cape Verde,Cape Verde,Rest,1960,23.97316667,0.022,0.022,0,1010.4104,1030.478,2983.2325,243.9088,1012.0563,780.0876,245.1289,21.3904,88.1302,0,0,202310,,,6.885,,,,,
1960Congo Dem Republic,Congo Dem Republic,Rest,1960,23.76733333,2.3193,2.3193,97.8581,2.6747,1435.427,704.3051,826.4116,912.9634,3380.8058,54.3774,0,0,0,0,15248251,27434.3992,,6.001,,,,,
1960Egypt,Egypt,Rest,1960,23.62116667,16.041,35.5225,1147.6234,854.8186,218.3414,1671.6606,33.9286,3326.4614,142.5076,0,0,0,0,0,26996533,,,6.716,,,,,
1960Gambia,Gambia,Rest,1960,27.57316667,0.0183,0.0183,0,1778.1539,363.2673,24.6844,3101.9241,1012.0563,780.0876,266.5193,0,88.1302,0,0,367928,,,5.573,,,,,
1960Iran,Iran,Top20,1960,17.89375,24.6844,27.3591,137.2901,2174.0234,1475.3948,364.3774,0,277.6616,2904.3393,54.3774,0,0,0,0,21906903,115573.8685,,6.927,,,,,
1960Ivory Coast,Ivory Coast,Rest,1960,26.143,0.4617,0.4617,0,380.2646,1761.1566,24.6844,2978.4986,1915.5694,0,266.5193,88.1302,0,0,0,3558988,,,7.691,,,,,
1960Kyrgyzstan,Kyrgyzstan,Rest,1960,3.01125,6.8073,6.8073,1816.8283,231.6234,2032.135,0,375.5197,2858.0153,54.3774,46.324,0,0,0,0,2172300,198403.3476,,5.469,,,,,
1960Laos,Laos,Rest,1960,24.11341667,0.0806,0.0806,934.4995,1124.1637,115.4893,216.4105,1778.1539,287.3895,0,2912.3927,0,46.324,0,0,2120896,92232.29999,,5.961,,,,,
1960Macedonia,Macedonia,Rest,1960,11.07525,2.9373,1142.6831,882.1777,0,1012.0563,877.9457,3292.6756,122.0918,0,88.1302,0,0,0,0,1488667,,,3.842,,,,,
1960Niue,Niue,Rest,1960,25.22833333,,,0,0,88.1302,0,320.8967,3827.6343,1058.3803,97.8581,608.5062,1413.4173,0,0,0,1521.943428,,,,,,,
1960North Korea,North Korea,Rest,1960,7.487833333,23.7977,268.9266,1671.6606,21.3904,120.4833,331.8998,1967.6853,2912.3927,0,97.8581,0,46.324,0,0,11424176,,,4.579,,,,,
1960Russia,Russia,Top20,1960,-5.936,891.573,891.573,780.0876,245.1289,2142.4068,210.9218,2858.0153,142.5076,97.8581,46.324,0,0,0,0,119897000,17862.54531,,2.52,,,,,
1960Saint Lucia,Saint Lucia,Rest,1960,27.15383333,0.0147,0.0147,0,2958.7167,189.5314,1778.1539,216.4105,100.5328,916.2574,1145.6998,0,0,109.5206,0,89897,,,6.967,,,,,
1960Slovakia,Slovakia,Rest,1960,8.039916667,28.0714,1422.0072,600.6286,27.3591,1012.0563,969.619,3201.0023,122.0918,0,88.1302,0,0,0,0,4068095,,,3.04,,,,,
1960South Korea,South Korea,Top20,1960,12.7395,12.5382,245.1289,780.0876,912.9634,120.4833,132.2961,2167.289,2858.0153,54.3774,97.8581,0,46.324,0,0,25012374,120556.6003,,6.095,,,,,
1960Swaziland,Swaziland,Rest,1960,18.76733333,0.033,97.8911,0,0,2.6747,271.2423,1352.3824,1452.0396,904.1112,232.5907,3101.9241,0,0,0,349174,98.73554137,,6.717,,,,,
1960Syria,Syria,Rest,1960,19.07508333,3.2207,47.3866,1122.939,975.3019,1671.6606,110.3963,443.5125,2904.3393,142.5076,0,0,0,0,0,4573512,1265.426253,,7.467,,,,,
1960United States of America,United States of America,Top20,1960,8.69225,2858.0153,2858.0153,243.9088,0,0,1715.2101,1200.4445,261.9357,807.4467,218.3414,109.5206,0,0,0,180671000,,,3.654,81.47556707,0.069277798,,,
1960Venezuela,Venezuela,Rest,1960,25.40116667,25.2193,25.2193,46.324,2912.3927,0,1044.35,1122.939,114.6649,918.9321,0,1145.6998,88.1302,0,21.3904,8146847,4818.838338,,6.616,,,,,
1960Yemen,Yemen,Rest,1960,26.31908333,3.631,6.3057,41.4912,429.3548,2546.8318,912.9634,245.1289,88.1302,235.8554,2858.0153,54.3774,0,0,0,5172135,205.010514,,7.488,,,,,
2014Congo Dem Republic,Congo Dem Republic,Rest,2014,,4.8249,4.8249,443.4957,535.1215,2612.061,2572.4529,10843.2156,2008.3315,7986.1824,454.2143,0,0,0,0,73722860,247310.6623,,6.286,0.124561205,,,1528894,
2014Ivory Coast,Ivory Coast,Rest,2014,,10.6471,10.6471,0,624.5234,3277.4835,617.4255,7392.4213,12877.9252,0,2286.4842,378.8118,0,0,0,22531350,,,5.039,76.06806662,,4.57743,104014,
2014Macedonia,Macedonia,Rest,2014,,7.7708,1708.2551,1860.9704,0,3688.7716,10772.2293,7607.3706,1446.4369,0,378.8118,0,0,0,0,2077495,1120.811787,,1.513,75.95831783,,,9980,9243
2014North Korea,North Korea,Rest,2014,,41.3871,1850.1307,11859.3245,477.7406,2158.1807,2160.7305,2343.9224,5688.4549,0,443.4957,0,514.482,0,0,25116363,596.6082537,,1.933,27.41079904,,,51580,
2014Russia,Russia,Top20,2014,,1530.5909,1530.5909,10328.7336,1808.7436,5719.6354,1042.127,5234.2406,833.0261,443.4957,514.482,0,0,0,0,143819666,,39.7,1.75,66.12757017,17.0150979,,8149715.2,127353
2014South Korea,South Korea,Top20,2014,,591.2559,1808.7436,10328.7336,2008.3315,2158.1807,1874.0151,2630.6378,5234.2406,454.2143,443.4957,0,514.482,0,0,50746659,4661.6076,24.5,1.205,69.49575444,28.65305524,5.05672,61916,368516
2014Trinidad and Tobago,Trinidad and Tobago,Rest,2014,,24.0106,24.0106,514.482,5688.4549,564.3864,1779.536,286.7154,1321.2735,2148.0164,3375.6684,10919.9895,0,856.5524,0,1354493,316348.4027,,1.778,100,,,2328.6,
1960Afghanistan,Afghanistan,Rest,1960,13.98541667,0.4177,25.1021,139.9648,1871.2643,2044.6732,0,185.9883,189.5314,2858.0153,100.7014,0,0,0,0,8996351,,,7.45,,,,,
1960Albania,Albania,Rest,1960,13.33508333,2.0225,1412.7651,611.1809,0,1012.0563,877.9457,3338.9996,75.7678,0,88.1302,0,0,0,0,1608800,904.8900388,,6.489,,,,,
1960Algeria,Algeria,Rest,1960,23.50408333,6.1555,6.1555,1977.7576,19.4815,24.6844,1156.2384,3827.6343,66.9156,253.9811,0,88.1302,0,0,0,11124888,2089.939952,,7.524,,,,,
1960Andorra,Andorra,Rest,1960,11.214,,1778.1539,216.4105,27.3591,0,4059.603,978.6471,245.1289,21.3904,0,88.1302,0,0,0,13411,29375.69226,,,,,,,
1960Angola,Angola,Rest,1960,21.92708333,0.5533,0.5533,97.8581,0,153.4337,2035.2971,0,1693.051,2958.6837,476.4995,0,0,0,0,5643182,127938.1396,,7.478,,,,,
1960Argentina,Argentina,Rest,1960,14.99366667,48.7752,48.7752,46.324,0,0,152.2355,2858.0153,189.5314,2065.8878,44.1659,141.8737,891.573,1025.2165,0,20619075,36474.76053,,3.109,,,,,
1960Armenia,Armenia,Rest,1960,9.27325,5.4213,46.9125,1125.6137,1866.8749,780.0876,245.1289,308.7799,2858.0153,188.8316,0,0,0,0,0,1874120,,,4.786,,,,,
1960Australia,Australia,Top20,1960,21.2105,88.1302,88.1302,0,21.3904,0,1145.6998,0,1016.7902,16.8068,1366.8478,3759.1579,0,0,0,10276477,15080.23924,,3.453,79.94778311,,,,
1960Austria,Austria,Rest,1960,6.527083333,30.7959,2008.5535,16.8068,27.3591,1012.0563,969.619,3247.3263,75.7678,0,88.1302,0,0,0,0,7047539,3807.870321,,2.69,26.44087553,,,,
1960Azerbaijan,Azerbaijan,Rest,1960,11.738,20.0149,61.5061,1125.6137,1866.8749,780.0876,245.1289,308.7799,2858.0153,188.8316,0,0,0,0,0,3895396,,,5.878,,,,,
1960Bahrain,Bahrain,Rest,1960,26.2665,0.5752,27.9343,137.2901,1393.9358,2255.4824,131.7867,232.5907,277.6616,2904.3393,54.3774,0,0,0,0,162427,,,7.087,,,,,
1960Bangladesh,Bangladesh,Rest,1960,25.48425,2.2908,122.7741,780.0876,1185.4514,16.8068,1482.066,681.6799,189.5314,0,2858.0153,100.7014,0,0,0,48199747,,,6.725,,,,,
1960Barbados,Barbados,Rest,1960,26.92641667,0.1722,0.1722,46.324,2912.3927,189.5314,1778.1539,216.4105,100.5328,916.2574,1133.1616,12.5382,0,109.5206,0,230939,,,4.333,,,,,
1960Belarus,Belarus,Rest,1960,6.464583333,38.9302,1052.6014,1005.5776,894.2477,900.5709,434.6603,2955.8734,122.0918,0,88.1302,0,0,0,0,8198000,96517.87877,,2.67,,,,,
1960Belgium,Belgium,Rest,1960,9.98875,90.9222,2068.6798,16.8068,27.3591,891.573,3948.1176,443.6884,0,21.3904,0,88.1302,0,0,0,9153489,,,2.54,98.86483633,,,,
1960Belize,Belize,Rest,1960,25.35158333,0.044,0.044,2912.3927,189.5314,46.324,0,1778.1539,1091.1767,249.3975,917.843,208.6135,21.3904,0,0,92064,,,6.5,,,,,
1960Benin,Benin,Rest,1960,27.204,0.1612,0.1612,0,1213.8136,905.968,46.324,120.4833,4773.5847,33.9286,232.5907,88.1302,0,0,0,2431622,4204.530262,,6.282,,,,,
1960Bhutan,Bhutan,Rest,1960,12.42525,,900.5709,0,1185.4514,216.4105,1866.2841,97.8581,189.5314,2858.0153,54.3774,46.324,0,0,0,223288,10202.24325,,6.67,,,,,
