,Country,Group,Year,Ave Temperature,CO2 (MtCO2),CO2 (MtCO2) proximity mileage brackets (to top 20)
,Afghanistan,Rest,2010,15.82866667,8.4528,567.7163
,Albania,Rest,2010,13.77541667,4.5785,2149.5796
,Algeria,Rest,2010,25.21566667,114.5345,114.5345
,Andorra,Rest,2010,11.48083333,0.5166,2015.6382
,Angola,Rest,2010,22.6815,28.6788,28.6788
,Argentina,Rest,2010,15.07883333,180.502,180.502
,Armenia,Rest,2010,11.5095,4.2918,860.2019
,Australia,Top20,2010,22.07816667,394.1143,394.1143
,Austria,Rest,2010,6.649083333,70.7915,2401.2515
,Azerbaijan,Rest,2010,13.96266667,24.1675,880.0776
,Bahamas,Rest,2010,25.22916667,1.6525,1.6525
,Bahrain,Rest,2010,28.06966667,26.1372,1025.8435
,Bangladesh,Rest,2010,25.94033333,56.7127,1762.4049
,Barbados,Rest,2010,27.84466667,1.5093,1.5093
,Belarus,Rest,2010,7.03725,62.117,1152.52
,Belgium,Rest,2010,9.36175,108.3875,2438.8475
,Belize,Rest,2010,25.50233333,0.5349,0.5349
,Benin,Rest,2010,28.32558333,5.1985,5.1985
,Bhutan,Rest,2010,12.94725,0.4873,10321.1394
,Bolivia,Rest,2010,21.44641667,15.1753,419.5951
,Botswana,Rest,2010,22.73016667,3.3982,415.5536
,Brazil,Top20,2010,25.81241667,404.4198,404.4198
,Bulgaria,Rest,2010,11.76633333,45.3783,1841.4618
,Burkina Faso,Rest,2010,29.28875,1.9602,1.9602
,Burundi,Rest,2010,21.06875,0.2125,0.2125
,Cambodia,Rest,2010,27.87525,5.012,5.012
,Cameroon,Rest,2010,25.46475,9.1042,9.1042
,Canada,Top20,2010,-1.887916667,534.8359,534.8359
,Cape Verde,Rest,2010,25.83241667,0.5569,0.5569
,Central African Republic,Rest,2010,26.32983333,0.2638,0.2638
,Chad,Rest,2010,28.6965,0.5166,0.5166
,Chile,Rest,2010,9.712833333,70.5666,70.5666
,China,Top20,2010,7.548416667,8614.9599,8614.9599
,Colombia,Rest,2010,25.68766667,66.0417,66.0417
,Comoros,Rest,2010,26.78683333,0.1612,0.1612
,Congo Dem Republic,Rest,2010,24.75891667,2.1155,2.1155
,Costa Rica,Rest,2010,26.22675,7.2475,7.2475
,Croatia,Rest,2010,11.96083333,19.4784,1867.8329
,Cuba,Rest,2010,25.62733333,33.6028,33.6028
,Cyprus,Rest,2010,20.952,7.9232,304.5698
,Czech Republic,Rest,2010,7.75225,113.1254,2443.5854
,Denmark,Rest,2010,-15.08575,48.2119,1969.638
,Djibouti,Rest,2010,29.837,0.5166,440.9594
