,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
0,2.915,183.1442,870.7274,4738.8492,3762.8294,0.0,511.4036,429.4524,4846.4523,468.5727,0.0,0.0,0.0,0.0,12249114,611392.9882,7.466,13.59223301,0.0,13500.0
1,6.0437,2223.4138,901.7874,0.0,2772.0448,2428.295,6806.8569,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,3286542,259410.371,2.978,13.59223301,0.0,7888.0
2,68.0497,68.0497,2633.0391,305.8892,180.2292,3219.5983,7456.4885,517.1849,1232.3946,0.0,263.6924,0.0,0.0,0.0,25912367,22325.67501,4.726,99.16169896,0.0,16670.0
3,0.4067,2282.387,490.4241,346.7531,0.0,8047.9495,2896.8677,1331.1099,149.7392,0.0,263.6924,0.0,0.0,0.0,54509,5959.528408,7.247000000000001,13.79310345,0.0,160.0
4,6.3459,6.3459,247.7112,0.0,895.3406,2988.4974,0.0,4537.5296,5358.5992,1780.8382,0.0,0.0,0.0,0.0,12171441,8894.395056,7.247000000000001,13.79310345,0.0,609760.0
5,105.8838,105.8838,199.8423,0.0,0.0,516.4416,4846.4523,429.4524,2896.7315,486.1184,714.5774,2207.2066,3511.6937,0.0,32729739,42420.65718,2.989,50.20890816,14.34962554,347930.0
6,20.0813,339.6758,1885.8749,3685.7329,2180.5838,1331.1099,826.9028,4846.4523,732.2651,0.0,0.0,0.0,0.0,0.0,3538165,3588.99035,2.544,84.99324455,0.0,3350.0
7,263.6924,263.6924,0.0,149.7392,0.0,4076.5319,0.0,2801.6709,139.3653,2417.5338,5959.9827,0.0,0.0,0.0,17065100,31616.193389999997,1.902,90.34396936,0.0,1285410.0
8,58.7202,2691.7593,139.3653,346.7531,2772.0448,2610.0362,6625.1157,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,7677850,330541.6587,1.46,33.68833171,0.0,37760.0
9,57.9621,377.5566,1885.8749,3685.7329,2180.5838,1331.1099,826.9028,4846.4523,732.2651,0.0,0.0,0.0,0.0,0.0,7159000,534.3421361000001,2.74,92.83863165,0.0,8520.0
10,1.9492,1.9492,5115.1827,429.4524,199.8423,1872.7581,760.2810000000001,2346.5719,1925.5742,2745.422,0.0,413.4316,0.0,0.0,256336,3033.6247510000003,2.639,100.0,0.0,5150.0
11,10.7533,357.5064,704.2035,2078.0048,4942.8247,645.9049,1082.6554,693.1448,5046.2946,268.7304,0.0,0.0,0.0,0.0,495931,424.0306893,3.7319999999999998,100.0,0.0,2.2
12,11.5885,576.4267,2180.5838,4034.8088,139.3653,2341.6972,802.7455,429.4524,0.0,4846.4523,468.5727,0.0,0.0,0.0,106188642,9312.432284999999,4.494,88.56699431,0.0,14940.0
13,1.0736,1.0736,199.8423,5115.1827,429.4524,2281.9803,490.4241,414.2351,2387.4358,3828.0774,248.4545,0.0,413.4316,0.0,260374,5318.752174,1.74,99.94940039,0.0,63.0
14,101.4986,1411.6274,1642.5048,2373.7305,2745.422,1760.5623,5094.1635,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,10189000,1192733.081,1.913,99.94940039,0.0,77800.0
15,109.7015,2742.7406,139.3653,346.7531,2207.2066,8021.3267,2047.3938,0.0,149.7392,0.0,263.6924,0.0,0.0,0.0,9967379,36292.632789999996,1.62,37.80515564,60.77789791,6670.0
16,0.3114,0.3114,5115.1827,429.4524,199.8423,0.0,2281.9803,2558.2654,1222.0207,3023.5026,828.5306,149.7392,0.0,0.0,187552,2922.443722,4.508,100.0,0.0,16160.3
17,0.4102,0.4102,0.0,2032.8352,1334.0335,199.8423,564.8382,9932.4255,398.1937,1082.6554,263.6924,0.0,0.0,0.0,4978496,1782.5259839999999,6.744,100.0,0.0,57610.0
18,0.1282,2745.5502,0.0,4034.8088,490.4241,2545.6727,247.7112,429.4524,4846.4523,268.7304,199.8423,0.0,0.0,0.0,537280,14887.435630000002,5.638999999999999,47.55517092,0.0,25067.1
19,5.6473,205.4896,0.0,0.0,268.7304,4846.4523,1035.8174,2274.3853,305.8892,180.2292,3035.7372,3511.6937,149.7392,0.0,6856244,14887.435630000002,4.894,47.55517092,0.0,627950.0
20,2.81,250.5212,0.0,0.0,166.5239,1652.3087,2065.0054,2594.0154,2455.6611,5929.1077,698.1828,0.0,0.0,0.0,1377912,1014073.2009999999,4.54,100.0,0.0,137180.0
21,199.8423,199.8423,0.0,0.0,0.0,5362.8939,2711.4327,490.4241,346.7531,2207.2066,828.5306,3511.6937,149.7392,0.0,149352145,321.98589649999997,2.909,4.495536776000001,1.0039448709999998,5467050.0
22,76.9186,1935.6349,1260.4412,0.0,2772.0448,2180.5838,6854.7258,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,8718289,1377.847468,1.82,60.74369379,34.79983864,33270.0
23,0.5826,0.5826,0.0,2772.4044,794.3066,0.0,5411.2905,5085.9732,398.1937,1082.6554,263.6924,0.0,0.0,0.0,8811034,3080.498134,7.007000000000001,1.520207638,0.0,68470.0
24,0.2088,0.2088,247.7112,486.1184,2642.843,555.0343,4737.3719,512.1469,1082.6554,5544.6351,0.0,0.0,0.0,0.0,5415415,78761.08696,7.505,1.520207638,0.0,2890.0
25,1.2604,1.2604,2895.1612,1331.1099,2817.6521,139.3653,1719.351,1161.3993,429.4524,4846.4523,268.7304,199.8423,0.0,0.0,8973342,829561.95,5.601,1.520207638,0.0,129440.0
26,2.9514,2.9514,0.0,1321.4764,2045.3923,764.6805,2207.2066,7456.4885,1749.5795,263.6924,0.0,0.0,0.0,0.0,11715218,148050.7772,6.436,1.520207638,0.0,243160.0
27,429.4524,429.4524,4846.4523,268.7304,555.0343,4285.2114,3850.9013,346.7531,564.8382,413.4316,247.7112,0.0,0.0,0.0,27791000,358.600873,1.83,22.47568153,15.13709415,3482730.0
28,0.0953,0.0953,0.0,1522.7526,1449.4941,5440.9166,698.1828,2772.0448,2180.5838,1331.1099,149.7392,263.6924,0.0,0.0,341883,23133.873209999998,5.307,46.162638799999996,0.0,577.5
29,0.1979,0.1979,166.5239,1335.1817,2430.0013,0.0,4587.6327,398.1937,6622.2525,268.7304,0.0,0.0,0.0,0.0,2939780,15206.147659999999,5.808,46.162638799999996,0.0,225600.0
30,0.1429,0.1429,715.1114,2404.0461,812.5494,0.0,4587.6327,5674.0984,1351.3858,263.6924,0.0,0.0,0.0,0.0,5956859,44719.28145,7.313,46.162638799999996,0.0,67050.0
31,30.8135,30.8135,199.8423,0.0,0.0,268.7304,5094.1635,429.4524,2545.6727,656.948,329.9684,3854.7002,248.4545,2180.5838,13242132,44719.28145,2.5469999999999997,46.162638799999996,0.0,152630.0
32,2180.5838,2180.5838,4103.1547,329.9684,305.8892,2896.7315,429.4524,247.7112,5115.1827,0.0,0.0,199.8423,0.0,0.0,1135185000,12268.87377,2.35,79.59206011,0.0,1571406.0
33,49.2226,49.2226,0.0,5315.025,429.4524,0.0,2281.9803,598.77,2513.0958,1262.8846,2993.8765,263.6924,149.7392,0.0,34271565,144131.8489,2.9939999999999998,23.61580989,0.0,644170.0
34,0.0623,0.0623,247.7112,166.5239,884.4327,2227.744,2999.3105,3738.1588,0.0,429.4524,4846.4523,268.7304,0.0,0.0,411594,229126.5675,6.412000000000001,0.442477876,0.0,490.0
35,3.2208,3.2208,247.7112,166.5239,2397.5993,1119.8725,2380.4261,2356.9458,6870.706999999999,268.7304,0.0,0.0,0.0,0.0,34614581,921.6109137,6.746,0.442477876,0.0,1603630.0
36,2.9078,2.9078,268.7304,5046.2946,429.4524,0.0,1872.7581,760.2810000000001,2594.2831,1677.8629999999998,2444.2762,564.8382,149.7392,0.0,3095995,323.53886439999997,3.1719999999999997,2.479815456,0.0,25640.0
37,21.7235,2099.7283,694.3996,346.7531,2772.0448,2610.0362,6625.1157,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,4780000,18541.95727,1.63,54.44714191,0.0,18500.0
38,35.5949,35.5949,5115.1827,429.4524,199.8423,1872.7581,760.2810000000001,2346.5719,1677.1197,2429.0383,564.8382,413.4316,0.0,0.0,10582081,38020.869119999996,1.75,89.74973376,0.0,20580.0
39,4.4543,143.8196,2424.7579,1119.8725,4387.7904,247.7112,1910.3015,5046.2946,532.4228,0.0,0.0,0.0,0.0,0.0,766614,89567.84076,2.411,100.0,0.0,1611.1
40,153.5933,2786.6324,139.3653,346.7531,2772.0448,2610.0362,6425.2734,618.3119,0.0,263.6924,0.0,0.0,0.0,0.0,10333355,11329.5542,1.9,77.9255191,20.21004962,26290.0
